WaypointType,Year,Basin,Sub-basin,Stream,Section,Index Reach,Lat (dec deg),Long (dec deg),comments
SectionEnds,2019,St Joe River,Bean Creek,Bean Creek,Mouth to RM 2.75,N,47.0048,-115.2716,
SectionEnds,2019,St Joe River,Bean Creek,North Fork Bean Creek,Mouth to RM 0.25,N,47.005,-115.235,
SectionEnds,2019,St Joe River,Bean Creek,Tinear Creek,Mouth to RM 1.0,N,47.002,-115.231,
SectionEnds,2019,St Joe River,Bean Creek,Mill Creek,Mouth to RM 1.0,N,46.996,-115.2268,
SectionEnds,2019,St Joe River,Bean Creek,Bean Creek,Mouth to RM 2.75,N,47.003,-115.2289,
SectionEnds,2019,St Joe River,Bean Creek,North Fork Bean Creek,Mouth to RM 0.25,N,47.0137,-115.221,
SectionEnds,2019,St Joe River,Bean Creek,Tinear Creek,Mouth to RM 1.0,N,46.9841,-115.2351,
SectionEnds,2019,St Joe River,Bean Creek,Mill Creek,Mouth to RM 1.0,N,46.9844,-115.2131,
Redd,2019,St Joe River,Bean Creek,Bean Creek,Mouth to RM 2.75,N,47.003,-115.258,
Redd,2012,St Joe River,Bean Creek,Bean Creek,,N,47.002954,-115.256639,
Redd,2019,St Joe River,Bean Creek,Mill Creek,Mouth to RM 1.0,N,46.9857,-115.2173,
Redd,2019,St Joe River,Bean Creek,Mill Creek,Mouth to RM 1.0,N,46.9859,-115.2176,
SectionEnds,2019,St Joe River,Beaver Creek,Beaver Creek,Mouth to RM 4.5,N,47.0827,-115.355995,
SectionEnds,2019,St Joe River,Beaver Creek,Bad Bear Creek,Mouth to RM 1.3,N,47.06384,-115.437113,
SectionEnds,2019,St Joe River,Beaver Creek,Beaver Creek,Mouth to RM 4.5,N,47.06384,-115.437113,
SectionEnds,2019,St Joe River,Beaver Creek,Bad Bear Creek,Mouth to RM 1.3,N,47.04747,-115.45407,
SectionEnds,2019,St Joe River,California Creek,California Creek,Mouth to RM 1.5,N,47.04121,-115.159643,
SectionEnds,2019,St Joe River,California Creek,California Creek,Mouth to RM 1.5,N,47.01152,-115.166108,
SectionEnds,2019,St Joe River,Cascade Creek,Cascade Creek,Mouth to RM to Barrier,N,47.04452002,-115.17098,
SectionEnds,2019,St Joe River,Cascade Creek,Cascade Creek,Mouth to RM to Barrier,N,47.04816,115.16953,
Redd,2012,St Joe River,Cascade Creek,Cascade Creek,,N,47.044917,-115.17069,
SectionEnds,2019,St Joe River,Copper Creek,Copper Creek,Mouth to RM 3.2,N,47.0622,-115.359,
SectionEnds,2019,St Joe River,Copper Creek,Copper Creek,Mouth to RM 3.2,N,47.0519,-115.394,
SectionEnds,2019,St Joe River,Fly Creek,Fly Creek,Mouth to RM 2.7,N,47.11239,-115.387407,
SectionEnds,2019,St Joe River,Fly Creek,Fly Creek,Mouth to RM 2.7,N,47.1026,115.42481,
SectionEnds,2019,St Joe River,Gold Creek,Broadaxe Cr,Mouth to RM 1.1,N,47.21013,-115.35818,
SectionEnds,2019,St Joe River,Gold Creek,Gold Creek,Broadaxe Creek to RM 2.0,N,47.15845,-115.39443,
SectionEnds,2019,St Joe River,Gold Creek,Broadaxe Cr,Mouth to RM 1.1,N,47.21465,-115.33787,
SectionEnds,2019,St Joe River,Gold Creek,Gold Creek,Broadaxe Creek to RM 2.0,N,47.1922,-115.36708,
SectionEnds,2019,St Joe River,Heller Creek,Heller Creek,Mouth to RM 2.7,N,47.06439,-115.21863,
SectionEnds,2019,St Joe River,Heller Creek,Heller Creek,Mouth to RM 2.7,N,47.09388,-115.19678,
Redd,2019,St Joe River,Heller Creek,Heller Creek,Mouth to RM 2.7,N,47.0644,-115.2183,
Redd,2019,St Joe River,Heller Creek,Heller Creek,Mouth to RM 2.7,N,47.08472,-115.20977,
Redd,2019,St Joe River,Heller Creek,Heller Creek,Mouth to RM 2.7,N,47.08662,-115.20904,
SectionEnds,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.02820431,-115.1496823,
SectionEnds,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.05379996,-115.1276334,
Redd,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.04775603,-115.131811,
Redd,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.04779601,-115.131998,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.028379,-115.148932,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.029073,-115.145131,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.030129,-115.143647,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.030404,-115.143414,
Redd,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.050541,-115.131747,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.030999,-115.142379,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031065,-115.142509,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031425,-115.141957,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031443,-115.141416,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031487,-115.141389,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031658,-115.141369,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031658,-115.141369,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031658,-115.141369,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.031742,-115.141011,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03203,-115.139869,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03203,-115.139869,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032058,-115.139947,
Redd,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.05062004,-115.131444,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032084,-115.13992,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03213,-115.139945,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03244,-115.139644,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03244,-115.139644,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03283,-115.139289,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032872,-115.139363,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032877,-115.139419,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032877,-115.139419,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032957,-115.139324,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.032957,-115.139324,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.033269,-115.138695,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.033675,-115.138114,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.033675,-115.138114,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.033675,-115.138114,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.033889,-115.138028,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.03419,-115.137701,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.034552,-115.137254,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.034582,-115.136885,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.034582,-115.136885,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.034838,-115.136573,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.035215,-115.135955,
